"Country","State","City","Station name","Timestamp(UTC)","PM2.5","PM10","Ozone","CO","SO2","US AQI","Main pollutant"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-04T00:00:00.000Z",5.96,,71.58,,,29,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-05T00:00:00.000Z",6.42,,77.17,,,31,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-06T00:00:00.000Z",9.38,,44.25,,,39,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-07T00:00:00.000Z",6.13,,67.48,,,27,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-08T00:00:00.000Z",5.25,,72.92,,,29,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-09T00:00:00.000Z",6.08,,70.25,,,28,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-10T00:00:00.000Z",8.26,,52.08,,,34,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-11T00:00:00.000Z",9.41,,68.94,,,39,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-12T00:00:00.000Z",7.29,,65.17,,,30,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-13T00:00:00.000Z",5.83,,57.17,,,24,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-14T00:00:00.000Z",8.29,,55.92,,,34,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-15T00:00:00.000Z",12.21,,58,,,51,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-16T00:00:00.000Z",10.67,,85.75,,,44,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-17T00:00:00.000Z",20.17,,64.33,,,68,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-18T00:00:00.000Z",11.7,,73.65,,,48,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-19T00:00:00.000Z",11.32,,63.36,,,47,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-20T00:00:00.000Z",4.29,,90.08,,,36,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-21T00:00:00.000Z",11.48,,65.82,,,47,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-22T00:00:00.000Z",14.21,,76.5,,,55,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-23T00:00:00.000Z",10.63,,66.25,,,44,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-24T00:00:00.000Z",7.79,,75,,,32,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-25T00:00:00.000Z",14.54,,58,,,56,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-26T00:00:00.000Z",11.88,,93.33,,,49,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-27T00:00:00.000Z",9.29,,77.4,,,38,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-28T00:00:00.000Z",11.78,,26.44,,,49,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-29T00:00:00.000Z",11.96,,34.78,,,49,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-30T00:00:00.000Z",7.71,,55.75,,,32,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-01T00:00:00.000Z",9.46,,50.25,,,39,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-02T00:00:00.000Z",8.74,,53.42,,,36,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-03T00:00:00.000Z",5.83,,61.91,,,25,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-04T00:00:00.000Z",7.75,,66.75,,,32,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-05T00:00:00.000Z",8.71,,54.87,,,36,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-06T00:00:00.000Z",4.88,,71.67,,,29,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-07T00:00:00.000Z",9.13,,54.92,,,38,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-08T00:00:00.000Z",8,,75.58,,,33,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-09T00:00:00.000Z",12.08,,44,,,50,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-10T00:00:00.000Z",15.17,,37.25,,,57,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-11T00:00:00.000Z",16.33,,34.83,,,60,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-12T00:00:00.000Z",15.79,,41.5,,,59,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-13T00:00:00.000Z",9.54,,69.83,,,39,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-14T00:00:00.000Z",9.46,,53.83,,,39,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-15T00:00:00.000Z",4.88,,59.08,,,24,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-16T00:00:00.000Z",6.21,,67.5,,,27,"Ozone"
